File path, Category 
./Extracted Faces/Extracted Faces/0/0.jpg,0
./Extracted Faces/Extracted Faces/0/1.jpg,0
./Extracted Faces/Extracted Faces/0/2.jpg,0
./Extracted Faces/Extracted Faces/0/3.jpg,0
./Extracted Faces/Extracted Faces/1/0.jpg,1
./Extracted Faces/Extracted Faces/1/1.jpg,1
./Extracted Faces/Extracted Faces/10/0.jpg,10
./Extracted Faces/Extracted Faces/10/1.jpg,10
./Extracted Faces/Extracted Faces/10/2.jpg,10
./Extracted Faces/Extracted Faces/10/3.jpg,10
./Extracted Faces/Extracted Faces/1000/0.jpg,1000
./Extracted Faces/Extracted Faces/1000/1.jpg,1000
./Extracted Faces/Extracted Faces/1001/0.jpg,1001
./Extracted Faces/Extracted Faces/1001/1.jpg,1001
./Extracted Faces/Extracted Faces/1001/2.jpg,1001
./Extracted Faces/Extracted Faces/1002/0.jpg,1002
./Extracted Faces/Extracted Faces/1002/1.jpg,1002
./Extracted Faces/Extracted Faces/1002/2.jpg,1002
./Extracted Faces/Extracted Faces/1006/0.jpg,1006
./Extracted Faces/Extracted Faces/1006/1.jpg,1006
./Extracted Faces/Extracted Faces/1006/2.jpg,1006
./Extracted Faces/Extracted Faces/1006/3.jpg,1006
./Extracted Faces/Extracted Faces/1006/4.jpg,1006
./Extracted Faces/Extracted Faces/1006/5.jpg,1006
./Extracted Faces/Extracted Faces/1006/6.jpg,1006
./Extracted Faces/Extracted Faces/1006/7.jpg,1006
./Extracted Faces/Extracted Faces/1006/8.jpg,1006
./Extracted Faces/Extracted Faces/1006/9.jpg,1006
./Extracted Faces/Extracted Faces/1007/0.jpg,1007
./Extracted Faces/Extracted Faces/1007/1.jpg,1007
./Extracted Faces/Extracted Faces/1007/10.jpg,1007
./Extracted Faces/Extracted Faces/1007/2.jpg,1007
./Extracted Faces/Extracted Faces/1007/3.jpg,1007
./Extracted Faces/Extracted Faces/1007/4.jpg,1007
./Extracted Faces/Extracted Faces/1007/5.jpg,1007
./Extracted Faces/Extracted Faces/1007/6.jpg,1007
./Extracted Faces/Extracted Faces/1007/7.jpg,1007
./Extracted Faces/Extracted Faces/1007/8.jpg,1007
./Extracted Faces/Extracted Faces/1007/9.jpg,1007
./Extracted Faces/Extracted Faces/101/0.jpg,101
./Extracted Faces/Extracted Faces/101/1.jpg,101
./Extracted Faces/Extracted Faces/1013/0.jpg,1013
./Extracted Faces/Extracted Faces/1013/1.jpg,1013
./Extracted Faces/Extracted Faces/1013/2.jpg,1013
./Extracted Faces/Extracted Faces/1014/0.jpg,1014
./Extracted Faces/Extracted Faces/1014/1.jpg,1014
./Extracted Faces/Extracted Faces/1014/2.jpg,1014
./Extracted Faces/Extracted Faces/1014/3.jpg,1014
./Extracted Faces/Extracted Faces/1015/0.jpg,1015
./Extracted Faces/Extracted Faces/1015/1.jpg,1015
./Extracted Faces/Extracted Faces/1015/2.jpg,1015
./Extracted Faces/Extracted Faces/1016/0.jpg,1016
./Extracted Faces/Extracted Faces/1016/1.jpg,1016
./Extracted Faces/Extracted Faces/1016/2.jpg,1016
./Extracted Faces/Extracted Faces/1016/3.jpg,1016
./Extracted Faces/Extracted Faces/1016/4.jpg,1016
./Extracted Faces/Extracted Faces/1016/5.jpg,1016
./Extracted Faces/Extracted Faces/1017/0.jpg,1017
./Extracted Faces/Extracted Faces/1017/1.jpg,1017
./Extracted Faces/Extracted Faces/1018/0.jpg,1018
./Extracted Faces/Extracted Faces/1018/1.jpg,1018
./Extracted Faces/Extracted Faces/1018/2.jpg,1018
./Extracted Faces/Extracted Faces/1018/3.jpg,1018
./Extracted Faces/Extracted Faces/1019/0.jpg,1019
